,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
recall,0.648,0.771186441,0.70781893,0.70959322,0.70781893,sessions_labeled_agency_012,decision_tree,0.70781893
recall,0.676767677,0.673076923,0.674876847,0.6749223,0.674876847,sessions_labeled_agency_012,random_forest,0.674876847
recall,0.48,0.5,0.489711934,0.49,0.489711934,sessions_labeled_agency_012,KNN,0.489711934
recall,0.04,0.974576271,0.49382716,0.507288136,0.49382716,sessions_labeled_agency_012,SVM,0.49382716
recall,0.708333333,0.369565217,0.542553191,0.538949275,0.542553191,sessions_labeled_emotion_boredom,decision_tree,0.542553191
recall,0.564102564,0.666666667,0.615384615,0.615384615,0.615384615,sessions_labeled_emotion_boredom,random_forest,0.615384615
recall,0.541666667,0.739130435,0.638297872,0.640398551,0.638297872,sessions_labeled_emotion_boredom,KNN,0.638297872
recall,0.75,0.434782609,0.595744681,0.592391304,0.595744681,sessions_labeled_emotion_boredom,SVM,0.595744681
recall,0.855960265,0.3847487,0.625740898,0.620354483,0.625740898,sessions_labeled_finished,decision_tree,0.625740898
recall,0.596,0.603305785,0.599593496,0.599652893,0.599593496,sessions_labeled_finished,random_forest,0.599593496
recall,0.549668874,0.554592721,0.552074513,0.552130798,0.552074513,sessions_labeled_finished,KNN,0.552074513
recall,0.485099338,0.499133449,0.49195597,0.492116393,0.49195597,sessions_labeled_finished,SVM,0.49195597
recall,0.664285714,0.537313433,0.602189781,0.600799574,0.602189781,sessions_labeled_more,decision_tree,0.602189781
recall,0.622807018,0.552631579,0.587719298,0.587719298,0.587719298,sessions_labeled_more,random_forest,0.587719298
recall,0.435714286,0.544776119,0.489051095,0.490245203,0.489051095,sessions_labeled_more,KNN,0.489051095
recall,0.628571429,0.440298507,0.53649635,0.534434968,0.53649635,sessions_labeled_more,SVM,0.53649635
recall,0.52173913,0.769230769,0.635294118,0.64548495,0.635294118,sessions_labeled_regret_765,decision_tree,0.635294118
recall,0.5,0.657142857,0.577464789,0.578571429,0.577464789,sessions_labeled_regret_765,random_forest,0.577464789
recall,0.47826087,0.615384615,0.541176471,0.546822742,0.541176471,sessions_labeled_regret_765,KNN,0.541176471
recall,0.434782609,0.58974359,0.505882353,0.512263099,0.505882353,sessions_labeled_regret_765,SVM,0.505882353
